<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.08.21	02:51:00	1.11280	1.11283	1.11279	1.11282	25	0	3
2024.08.21	02:52:00	1.11280	1.11284	1.11276	1.11278	15	0	4
2024.08.21	02:53:00	1.11278	1.11280	1.11274	1.11274	13	0	4
2024.08.21	02:54:00	1.11274	1.11279	1.11274	1.11279	13	0	4
2024.08.21	02:55:00	1.11279	1.11280	1.11278	1.11280	8	0	4
2024.08.21	02:56:00	1.11280	1.11285	1.11278	1.11280	10	0	4
2024.08.21	02:57:00	1.11280	1.11280	1.11274	1.11274	16	0	4
2024.08.21	02:58:00	1.11274	1.11275	1.11269	1.11270	13	0	4
2024.08.21	02:59:00	1.11270	1.11275	1.11270	1.11274	9	0	4
2024.08.21	03:00:00	1.11275	1.11275	1.11270	1.11275	21	0	4
2024.08.21	03:01:00	1.11277	1.11280	1.11266	1.11270	21	0	4
2024.08.21	03:02:00	1.11270	1.11271	1.11260	1.11262	23	0	4
2024.08.21	03:03:00	1.11262	1.11265	1.11257	1.11263	19	0	4
2024.08.21	03:04:00	1.11263	1.11265	1.11261	1.11263	17	0	4
2024.08.21	03:05:00	1.11263	1.11271	1.11262	1.11266	14	0	4
2024.08.21	03:06:00	1.11266	1.11269	1.11263	1.11269	14	0	4
2024.08.21	03:07:00	1.11268	1.11271	1.11263	1.11266	17	0	4
2024.08.21	03:08:00	1.11268	1.11270	1.11267	1.11268	21	0	4
2024.08.21	03:09:00	1.11268	1.11275	1.11263	1.11273	22	0	4
2024.08.21	03:10:00	1.11270	1.11270	1.11262	1.11263	21	0	4
2024.08.21	03:11:00	1.11263	1.11264	1.11261	1.11263	13	0	5
2024.08.21	03:12:00	1.11263	1.11278	1.11263	1.11269	25	0	4
2024.08.21	03:13:00	1.11269	1.11271	1.11261	1.11265	22	0	5
2024.08.21	03:14:00	1.11265	1.11265	1.11257	1.11257	18	0	4
2024.08.21	03:15:00	1.11258	1.11264	1.11258	1.11263	13	0	4
2024.08.21	03:16:00	1.11263	1.11267	1.11256	1.11256	23	0	4
2024.08.21	03:17:00	1.11256	1.11268	1.11256	1.11267	19	0	4
2024.08.21	03:18:00	1.11267	1.11279	1.11266	1.11278	17	0	4
2024.08.21	03:19:00	1.11277	1.11283	1.11272	1.11272	25	0	4
2024.08.21	03:20:00	1.11271	1.11275	1.11271	1.11274	13	0	4
2024.08.21	03:21:00	1.11273	1.11285	1.11273	1.11283	17	0	4
2024.08.21	03:22:00	1.11282	1.11288	1.11282	1.11287	20	0	4
2024.08.21	03:23:00	1.11287	1.11295	1.11285	1.11295	21	0	4
2024.08.21	03:24:00	1.11294	1.11305	1.11292	1.11304	25	0	4
2024.08.21	03:25:00	1.11304	1.11311	1.11301	1.11305	20	0	4
2024.08.21	03:26:00	1.11307	1.11307	1.11301	1.11303	21	0	4
2024.08.21	03:27:00	1.11303	1.11310	1.11302	1.11308	23	0	4
2024.08.21	03:28:00	1.11308	1.11315	1.11305	1.11315	26	0	4
